School 01 ,Admission 2008,Admission 2009,Admission 2010,Admission 2011,Admission 2012,Admission 2013,Admission 2014,Admission 2015,Admission 2016,Admission 2017,Admission 2018,Enrollment 2008,Enrollment 2009,Enrollment 2010,Enrollment 2011,Enrollment 2012,Enrollment 2013,Enrollment 2014,Enrollment 2015,Enrollment 2016,Enrollment 2017,Enrollment 2018,Satreading 2008,Satreading 2009,Satreading 2010,Satreading 2011,Satreading 2012,Satreading 2013,Satreading 2014,Satreading 2015,Satreading 2016,Satreading 2017,Satreading 2018,Satmath 2008,Satmath 2009,Satmath 2010,Satmath 2011,Satmath 2012,Satmath 2013,Satmath 2014,Satmath 2015,Satmath 2016,Satmath 2017,Satmath 2018,Acteq 2008,Acteq 2009,Acteq 2010,Acteq 2011,Acteq 2012,Acteq 2013,Acteq 2014,Acteq 2015,Acteq 2016,Acteq 2017,Acteq 2018,ACT 2008,ACT 2009,ACT 2010,ACT 2011,ACT 2012,ACT 2013,ACT 2014,ACT 2015,ACT 2016,ACT 2017,ACT 2018,Instate 2008,Instate 2009,Instate 2010,Instate 2011,Instate 2012,Instate 2013,Instate 2014,Instate 2015,Instate 2016,Instate 2017,Instate 2018,Outstate 2008,Outstate 2009,Outstate 2010,Outstate 2011,Outstate 2012,Outstate 2013,Outstate 2014,Outstate 2015,Outstate 2016,Outstate 2017,Outstate 2018,Apps 2008,Apps 2009,Apps 2010,Apps 2011,Apps 2012,Apps 2013,Apps 2014,Apps 2015,Apps 2016,Apps 2017,Apps 2018,Logapps 2008,Logapps 2009,Logapps 2010,Logapps 2011,Logapps 2012,Logapps 2013,Logapps 2014,Logapps 2015,Logapps 2016,Logapps 2017,Logapps 2018,Dlogapps 2008,Dlogapps 2009,Dlogapps 2010,Dlogapps 2011,Dlogapps 2012,Dlogapps 2013,Dlogapps 2014,Dlogapps 2015,Dlogapps 2016,Dlogapps 2017,Dlogapps 2018,Dapps 2008,Dapps 2009,Dapps 2010,Dapps 2011,Dapps 2012,Dapps 2013,Dapps 2014,Dapps 2015,Dapps 2016,Dapps 2017,Dapps 2018,Percdap 2008,Percdap 2009,Percdap 2010,Percdap 2011,Percdap 2012,Percdap 2013,Percdap 2014,Percdap 2015,Percdap 2016,Percdap 2017,Percdap 2018,Wins 2008,Wins 2009,Wins 2010,Wins 2011,Wins 2012,Wins 2013,Wins 2014,Wins 2015,Wins 2016,Wins 2017,Wins 2018,Seed 2008,Seed 2009,Seed 2010,Seed 2011,Seed 2012,Seed 2013,Seed 2014,Seed 2015,Seed 2016,Seed 2017,Seed 2018,Acceptrate 2008,Acceptrate 2009,Acceptrate 2010,Acceptrate 2011,Acceptrate 2012,Acceptrate 2013,Acceptrate 2014,Acceptrate 2015,Acceptrate 2016,Acceptrate 2017,Acceptrate 2018,Dacceptrate 2008,Dacceptrate 2009,Dacceptrate 2010,Dacceptrate 2011,Dacceptrate 2012,Dacceptrate 2013,Dacceptrate 2014,Dacceptrate 2015,Dacceptrate 2016,Dacceptrate 2017,Dacceptrate 2018,Netprice 2008,Netprice 2009,Netprice 2010,Netprice 2011,Netprice 2012,Netprice 2013,Netprice 2014,Netprice 2015,Netprice 2016,Netprice 2017,Netprice 2018
Alabama A & M University,1941,2696,3070,3585,5915,5521,5204,5166,6154,7772,8661,1048,1050,1123,872,1033,1104,1207,1461,1568,1294,1529,NA,470,470,450,455,450,470,470,470,485,520,NA,470,470,450,460,450,470,480,470,495,510,NA,21.15,21.15,20.25,20.5875,20.25,21.15,21.375,21.15,22.05,23.175,20,19,19,19,19,19,19,19,19,19,19,13242,13922,15210,17688,19076,21849,20884,22896,22886,23057,23462,16474,17868,20082,23016,24668,27441,28384,30666,31016,31436,32072,3961,5705,5986,7156,10877,6142,9901,7901,7043,8610,9638,8.28425179762192,8.64909826229618,8.69717868841264,8.87570644462861,9.29440574709385,8.72290570100077,9.20039104112252,8.97474461272273,8.85978949474541,9.06067959742178,9.17346889720028,0,0.36484646467426,0.0480804261164671,0.178527756215967,0.418699302465241,-0.571500046093084,0.477485340121747,-0.225646428399781,-0.114955117977324,0.200890102676366,0.112789299778502,0,1744,281,1170,3721,-4735,3759,-2000,-858,1567,1028,0,0.440292855339561,0.0492550394390885,0.195456064149683,0.519983230855226,-0.435322239588122,0.612015630087919,-0.201999798000202,-0.108593848879889,0.222490416015902,0.119396051103368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490027770764958,0.472567922874671,0.51286334781156,0.500978200111794,0.543808035303852,0.898892868772387,0.525603474396526,0.653841285913176,0.87377537980974,0.90267131242741,0.898630421249222,0,-0.017459847890287,0.040295424936889,-0.011885147699766,0.0428298351920581,0.355084833468535,-0.373289394375861,0.12823781151665,0.219934093896564,0.0288959326176701,-0.00404089117818807,7770,7194,7792,11108,12887,14746,13203,15547,15812,13956,14604
University of Alabama at Birmingham,4345,3692,3847,4027,4027,4934,4893,4636,5499,6936,7226,2213,1517,1571,1605,1605,1773,1748,1621,2021,2299,2299,620,630,680,630,630,640,640,630,640,630,620,640,650,690,640,640,650,640,668,660,740,620,28.35,28.8,30.825,28.575,28.575,29.025,28.8,29.205,29.25,30.825,27.9,27,27,27,27,27,28,27,28,28,28,29,18238,19115,20326,21153,21687,22495,24405,24661,25808,26096,26336,23926,25451,27718,29145,30351,31687,33957,34549,36136,36800,37472,5106,4418,4667,5575,5575,5689,5710,7672,9459,7555,7845,8.53817159780143,8.39344238398006,8.44827174594982,8.62604759632832,8.62604759632832,8.64628976475065,8.64997430265006,8.94533261656327,9.15472194821317,8.92996487470684,8.96763166516713,0,-0.144729213821368,0.0548293619697535,0.177775850378504,0,0.0202421684223282,0.00368453789940837,0.295358313913217,0.209389331649897,-0.22475707350633,0.0376667904602925,0,-688,249,908,0,114,21,1962,1787,-1904,290,0,-0.134743439091265,0.0563603440470801,0.194557531604885,0,0.0204484304932735,0.00369133415362981,0.343607705779335,0.232924921793535,-0.201289776932022,0.0383851753805427,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.850959655307481,0.835672249886827,0.824298264409685,0.722331838565022,0.722331838565022,0.867287748286166,0.8569176882662,0.604275286757039,0.581351094196004,0.9180675049636,0.921096239643085,0,-0.015287405420654,-0.011373985477142,-0.101966425844663,0,0.144955909721144,-0.010370060019966,-0.252642401509161,-0.0229241925610351,0.336716410767596,0.00302873467948495,11131,11669,13373,14296,13745,13982,15772,16092,17016,16636,17068
Alabama State University,4781,3936,3598,3636,3495,5251,4087,3876,4155,6696,7607,1366,1378,1221,1101,1106,1479,1091,1021,1172,967,1038,440,440,440,450,460,480,470,450,460,485,520,420,450,420,450,480,480,480,460,460,481,510,19.35,20.025,19.35,20.25,21.15,21.6,21.375,20.475,20.7,21.735,23.175,17,18,17,18,19,19,19,19,19,20,20,13404,15212,15908,17592,16681,18286,18286,19137,19634,21482,22110,18012,20828,22220,23904,22993,25222,25222,26070,26570,29810,30438,11309,8510,8229,7158,7592,10245,7673,8356,9053,6842,7783,9.33335414787133,9.04899722156742,9.01541977960571,8.87598589132597,8.93485034028976,9.234545060673,8.94546295217767,9.03073512267646,9.11085147347544,8.83083536553755,8.95969714695939,0,-0.284356926303907,-0.0335774419617074,-0.139433888279742,0.0588644489637922,0.299694720383236,-0.289082108495334,0.08527217049879,0.0801163507989848,-0.280016107937891,0.12886178142184,0,-2799,-281,-1071,434,2653,-2572,683,697,-2211,941,0,-0.247501989565833,-0.0330199764982374,-0.130149471381699,0.0606314613020397,0.349446786090622,-0.251049292337726,0.0890134236934706,0.0834131163235998,-0.244228432563791,0.13753288512131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422760633124061,0.462514688601645,0.437234171831328,0.507963118189438,0.460353003161222,0.512542703757931,0.532646943829011,0.463858305409287,0.458963879377002,0.978661210172464,0.977386611846332,0,0.039754055477584,-0.025280516770317,0.07072894635811,-0.0476101150282159,0.052189700596709,0.02010424007108,-0.068788638419724,-0.00489442603228502,0.519697330795462,-0.00127459832613197,8173,7643,9294,11247,10607,10905,10977,12796,12327,13029,13476
The University of Alabama,11172,11133,10776,9636,14019,17515,17221,19400,20107,20321,22032,5116,5148,5563,5766,6397,6454,6824,7211,7559,7407,6663,600,620,620,620,620,620,620,600,610,640,640,610,620,620,640,640,640,630,610,620,640,640,27.225,27.9,27.9,28.35,28.35,28.35,28.125,27.225,27.675,28.8,28.8,27,28,29,29,30,30,31,31,31,32,31,20396,21565,21681,23939,26717,27000,27205,28422,28836,29424,29872,31996,33765,34281,37239,40467,41500,42329,44202,45316,46744,48322,18500,18967,20112,22136,26409,30975,33736,36203,38237,38129,37302,9.82552601106642,9.85045590598432,9.90907193083003,10.0049605214668,10.181460140129,10.3409357064973,10.4263207954264,10.4968972673083,10.551558912205,10.548730426439,10.5268022234974,0,0.0249298949179071,0.0586160248457066,0.0958885906367328,0.176499618662254,0.159475566368327,0.0853850889290531,0.0705764718818731,0.0546616448967132,-0.0028284857659937,-0.021928202941595,0,467,1145,2024,4273,4566,2761,2467,2034,-108,-827,0,0.0252432432432432,0.0603680075921337,0.100636435958632,0.193033971810625,0.172895603771442,0.089136400322841,0.0731266303059047,0.0561831892384609,-0.00282448936893585,-0.0216895276561148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,9,0.603891891891892,0.586966837138187,0.535799522673031,0.435308998915793,0.530841758491423,0.56545601291364,0.510463599715438,0.53586719332652,0.525851923529566,0.532953919588765,0.590638571658356,0,-0.016925054753705,-0.051167314465156,-0.100490523757238,0.09553275957563,0.034614254422217,-0.054992413198202,0.025403593611082,-0.010015269796954,0.00710199605919903,0.057684652069591,14984,16568,16255,16821,19555,18935,18814,20133,19993,20465,20623
Auburn University,12085,11816,12417,12827,13486,13027,14154,15077,14704,15168,15645,3984,3918,4204,4202,3852,3726,4592,4902,4529,4836,4783,620,640,650,600,630,620,630,630,620,650,650,650,660,660,620,650,650,645,650,640,660,660,28.575,29.25,29.475,27.45,28.8,28.575,28.6875,28.8,28.35,29.475,29.475,28,29,30,30,30,30,30,30,30,30,30,17966,19490,21140,22352,23788,25282,29164,29794,30458,31282,31590,29726,31970,35156,36926,39532,41794,46348,47410,48602,49954,50838,17068,14862,15784,18323,17463,15745,16958,19414,18256,18072,20742,9.74496064430789,9.60656289871742,9.66675204770245,9.81591238028017,9.76783963593985,9.66427813353513,9.73849497786395,9.87374973427217,9.81224907210186,9.80211905814784,9.93991590914968,0,-0.138397745590476,0.0601891489850352,0.149160332577724,-0.0480727443403293,-0.10356150240472,0.0742168443288236,0.135254756408223,-0.0615006621703156,-0.0101300139540168,0.137796851001839,0,-2206,922,2539,-860,-1718,1213,2456,-1158,-184,2670,0,-0.129247715022264,0.0620374108464541,0.160859097820578,-0.0469355454892758,-0.0983794307965413,0.0770403302635757,0.144828399575422,-0.0596476769341712,-0.0100788781770377,0.147742363877822,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.708050152331849,0.795047772843494,0.786682716675114,0.700049118594117,0.772261352574014,0.827373769450619,0.834650312536856,0.776604512207685,0.805433829973707,0.839309428950863,0.754266705235754,0,0.0869976205116451,-0.00836505616838001,-0.086633598080997,0.072212233979897,0.0551124168766051,0.00727654308623693,-0.058045800329171,0.028829317766022,0.033875598977156,-0.085042723715109,12157,13042,14087,15282,17014,18500,21457,21875,22613,23205,23562
Jacksonville State University,2964,2558,2346,2844,2602,2567,2472,2056,2643,3244,3276,1299,1252,1272,1414,1332,1158,1185,1049,1320,1147,1073,500,500,540,520,540,540,560,550,570,530,450,490,510,530,520,540,540,540,550,550,520,480,22.275,22.725,24.075,23.4,24.3,24.3,24.75,24.75,25.2,23.625,20.925,22,22,25,25,26,26,26,26,26,26,26,14378,16378,17718,18748,19128,21237,20237,21132,21132,20560,19613,18938,21370,23142,24868,25488,28029,27029,28332,28332,27976,27389,3452,2919,2794,3400,3161,3083,2969,3085,4979,6005,6033,8.14670905220332,7.97899637085412,7.93522953981691,8.13153071060425,8.05864371221562,8.03365842788615,7.99598047476376,8.03430693633949,8.51298434664218,8.70034773451408,8.70499967844076,0,-0.167712681349204,-0.0437668310372077,0.196301170787345,-0.0728869983886344,-0.0249852843294676,-0.0376779531223903,0.0383264615757284,0.478677410302694,0.187363387871901,0.00465194392667812,0,-533,-125,606,-239,-78,-114,116,1894,1026,28,0,-0.154403244495944,-0.0428228845495033,0.216893342877595,-0.0702941176470588,-0.024675735526732,-0.0369769704832955,0.0390703940720781,0.613938411669368,0.206065474994979,0.00466278101582015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.858632676709154,0.876327509421035,0.83965640658554,0.836470588235294,0.823157228725087,0.832630554654557,0.832603570225665,0.66645056726094,0.530829483832095,0.540216486261449,0.543013426156141,0,0.017694832711881,-0.036671102835495,-0.00318581835024601,-0.013313359510207,0.00947332592947003,-2.69844288920407E-05,-0.166153002964725,-0.135621083428845,0.00938700242935397,0.00279693989469199,10224,11049,11075,11940,12020,13304,12492,12474,11939,12243,10689
University of North Alabama,1111,2005,1988,1872,2140,2057,1877,1925,2457,2787,2863,1111,1074,978,891,1078,970,944,1173,1196,1128,1005,480,460,578,530,550,565,593,560,523,610,610,550,470,563,535,535,530,530,535,530,580,580,23.175,20.925,25.6725,23.9625,24.4125,24.6375,25.2675,24.6375,23.6925,26.775,26.775,24,24,24,25,24,25,25,25,25,25,25,12713,13198,14038,15174,16564,16933,17539,18090,19698,20264,22112,16385,17206,18478,20070,21892,22525,23395,24186,26034,26912,30422,2183,2437,2289,2136,2419,2542,2765,3319,4408,3969,4450,7.68845535654994,7.79852305362521,7.73587031995257,7.66669020008009,7.79110951061003,7.8407064517494,7.92479591395644,8.10741881171997,8.39117635083275,8.28626945278307,8.40065937516029,0,0.110067697075262,-0.062652733672639,-0.0691801198724811,0.124419310529942,0.049596941139372,0.0840894622070358,0.182622897763538,0.283757539112777,-0.104906898049686,0.114389922377221,0,254,-148,-153,283,123,223,554,1089,-439,481,0,0.116353641777371,-0.0607304062371769,-0.0668414154652687,0.13249063670412,0.0508474576271187,0.0877261998426436,0.200361663652803,0.328110876770111,-0.0995916515426497,0.121189216427312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508932661475034,0.822732868280673,0.868501529051988,0.876404494382023,0.884663083918975,0.809205350118017,0.678842676311031,0.579993974088581,0.557395644283122,0.702191987906274,0.643370786516854,0,0.313800206805639,0.0457686607713149,0.00790296533003498,0.00825858953695202,-0.075457733800958,-0.130362673806986,-0.09884870222245,-0.022598329805459,0.144796343623152,-0.05882120138942,7330,7407,8102,9189,10370,10118,10848,10427,12103,12121,14033
Samford University,1924,1911,2111,2166,2433,2653,2725,2982,3149,3168,3188,708,733,715,686,708,765,730,826,916,857,958,630,645,640,630,630,630,620,610,620,650,650,610,650,620,640,630,610,615,610,618,630,620,27.9,29.1375,28.35,28.575,28.35,27.9,27.7875,27.45,27.855,28.8,28.575,27,28,29,29,29,28,29,29,29,29,29,31104,32527,34371,36895,38835,40900,42270,43666,44896,46474,47863,31104,32527,34371,36895,38835,40900,42270,43666,44896,46474,47863,2153,2288,2435,2623,3217,3447,3327,3196,3446,3808,3884,7.67461749736436,7.73543335249969,7.79770203551669,7.87207397986687,8.07620452723903,8.14525956651687,8.10982627601848,8.06965530688617,8.14496941708788,8.24485939591126,8.26462082941122,0,0.060815855135326,0.0622686830170016,0.0743719443501831,0.204130547372153,0.0690550392778384,-0.0354332904983874,-0.040170969132312,0.0753141102017096,0.0998899788233807,0.0197614334999603,0,135,147,188,594,230,-120,-131,250,362,76,0,0.0627032048304691,0.0642482517482517,0.0772073921971253,0.226458253907739,0.0714951818464408,-0.0348128807658834,-0.0393748121430718,0.0782227784730914,0.105049332559489,0.0199579831932773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893636785880167,0.835227272727273,0.86694045174538,0.825772016774686,0.756294684488654,0.769654772265738,0.819056206792907,0.933041301627034,0.913813116656994,0.831932773109244,0.820803295571576,0,-0.058409513152894,0.031713179018107,-0.041168434970694,-0.069477332286032,0.013360087777084,0.0494014345271691,0.113985094834127,-0.01922818497004,-0.0818803435477501,-0.0111294775376679,19536,21624,22506,24734,25626,27306,28578,29544,30017,30594,30695
University of South Alabama,3134,3631,3777,3903,4159,4142,4688,5178,4975,4841,5199,1617,1841,1772,1944,1944,1878,2073,2105,1997,1886,1910,NA,NA,NA,570,570,550,570,560,560,610,630,NA,NA,NA,560,580,565,585,540,570,590,610,NA,NA,NA,25.425,25.875,25.0875,25.9875,24.75,25.425,27,27.9,24,24,24,25,25,26,25,25,26,26,27,15900,14256,15262,17436,19012,19980,20096,20252,20298,20698,21706,20310,19596,20710,23340,25372,26628,26984,27284,27546,28210,29602,3473,4050,4369,4473,4770,4814,5614,6625,6180,5898,6555,8.15277405274408,8.30647216010059,8.38228942895144,8.40581460343285,8.47010158388239,8.47928361834302,8.63301875692183,8.79860565085442,8.72907355045174,8.68236858937522,8.7879833961978,0,0.15369810735651,0.0758172688508516,0.0235251744814118,0.0642869804495394,0.00918203446062904,0.153735138578812,0.165586893932595,-0.0695321004026859,-0.0467049610765162,0.10561480682258,0,577,319,104,297,44,800,1011,-445,-282,657,0,0.16613878491218,0.0787654320987654,0.0238040741588464,0.0663983903420523,0.00922431865828092,0.166181969256336,0.180085500534378,-0.0671698113207547,-0.0456310679611651,0.111393692777213,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.902389864670314,0.896543209876543,0.864499885557336,0.872568745808182,0.871907756813417,0.860407145824678,0.835055219095119,0.781584905660377,0.805016181229774,0.820786707358427,0.793135011441648,0,-0.005846654793771,-0.032043324319207,0.00806886025084597,-0.000660988994764966,-0.011500610988739,-0.025351926729559,-0.0534703134347421,0.0234312755693971,0.0157705261286529,-0.027651695916779,9002,7994,8268,10108,11105,12066,13284,12963,12968,12836,13624
Troy University,3363,3974,4336,4667,3905,4056,4642,5116,5431,6492,6428,1873,2908,3323,2989,2486,2087,2176,2084,1960,2160,1929,NA,NA,NA,NA,NA,NA,570,528,550,600,580,NA,NA,NA,NA,NA,NA,580,550,610,605,565,NA,NA,NA,NA,NA,NA,25.875,24.255,26.1,27.1125,25.7625,22,23,23,24,24,24,26,26,24,25,24,14060,14835,16090,16862,17661,18228,18752,18933,19106,19815,20147,18308,19467,21274,22502,23637,24564,25280,25821,26330,27399,27947,5237,5999,6238,6530,6269,5946,6336,5569,5952,7367,7332,8.56350409427949,8.69934806765309,8.73841489716775,8.78416222227048,8.74337213127397,8.69047400355804,8.75400293349426,8.62497078358967,8.69148257651293,8.90476584668281,8.9000036089596,0,0.135843973373605,0.0390668295146561,0.0457473251027274,-0.0407900909965075,-0.0528981277159257,0.0635289299362185,-0.129032149904592,0.0665117929232597,0.213283270169885,-0.00476223772321838,0,762,239,292,-261,-323,390,-767,383,1415,-35,0,0.145503150658774,0.0398399733288882,0.0468098749599231,-0.0399693721286371,-0.0515233689583666,0.065590312815338,-0.121054292929293,0.0687735679655234,0.237735215053763,-0.00475091624813357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.642161542868054,0.662443740623437,0.695094581596666,0.714701378254211,0.62290636465146,0.682139253279516,0.732638888888889,0.918656850421979,0.912466397849462,0.881227093796661,0.87670485542826,0,0.020282197755383,0.032650840973229,0.0196067966575449,-0.091795013602751,0.059232888628056,0.050499635609373,0.18601796153309,-0.00619045257251694,-0.0312393040528011,-0.00452223836840093,9364,9013,9813,10193,10292,10112,9350,10283,12146,12114,12951
